time,blocknumber,reward,stake,reward(usd), stake(usd)
2021-04-17 23:22:22,12260000,230452786.54170707,20142610.680849325,99042202.94356084,8656734.2699706
2021-04-18 17:54:40,12265000,230559512.0378142,20142610.680849325,93657648.58243957,8182310.658128356
2021-04-19 12:37:43,12270000,230667280.28725362,20142610.680849325,84062638.80497403,7340620.672965966
2021-04-20 06:58:43,12275000,230770056.92041048,20142610.680849325,75386902.86522914,6580095.594347502
2021-04-21 01:13:44,12280000,230833503.6150422,20183865.319319222,78710452.70966958,6882368.251725004
2021-04-21 19:52:20,12285000,232386179.1177346,20184111.10736679,79239889.6840004,6882452.061432831
2021-04-22 14:29:45,12290000,235048912.1656452,20303134.0928225,84597307.92877361,7307374.754235216
2021-04-23 08:58:36,12295000,237027593.99213418,20303134.0928225,84062320.28397901,7200547.970528938
2021-04-24 03:36:34,12300000,245820514.26960778,20306134.0928225,94289225.60443473,7788811.54130253
2021-04-24 22:06:21,12305000,245943333.4786072,20306134.0928225,94336335.29395887,7788811.54130253
2021-04-25 16:31:01,12310000,246069477.6628458,20306134.0928225,87698070.29352376,7237016.114213309
2021-04-26 11:07:13,12315000,259562437.3741403,20378060.57758034,99660533.30850853,7824276.908092725
2021-04-27 05:37:46,12320000,280085683.4417754,20450620.57758034,150511451.56489354,10989681.981279733
2021-04-27 23:52:55,12325000,286094686.56608206,20400650.186166655,153740548.359787,10962829.069504602
2021-04-28 18:28:36,12330000,288813033.9379819,15769717.183569144,240149799.53910887,13112616.03669795
2021-04-29 13:07:57,12335000,292286732.17673606,15819835.733801851,225913617.3285329,12227432.595213845
2021-04-30 07:34:05,12340000,297619649.43467045,16040457.802795745,262833142.54893082,14165610.168013308
2021-05-01 02:11:44,12345000,297729948.3995068,16041663.172583643,245973031.2453692,13253005.073856188
2021-05-01 20:40:05,12350000,297838455.4411381,16041663.172583643,246062675.58946353,13253005.073856188
2021-05-02 15:18:39,12355000,297944478.7488683,16041663.172583643,234642078.38114014,12633391.30602875
2021-05-03 10:00:37,12360000,299674704.4567177,16041663.172583643,245303258.87729573,13131145.857574416
2021-05-04 04:14:43,12365000,299786090.20454776,16041663.172583643,238837712.4702874,12780293.220891438
2021-05-04 22:45:41,12370000,307289376.711076,16041703.172583643,244815534.1364149,12780325.088642515
2021-05-05 17:25:09,12375000,307404162.60633826,16041703.172583643,216588036.7081451,11302517.721772306
2021-05-06 11:45:07,12380000,307515612.57834613,16041703.172583643,250513833.37867054,13068177.32599794
2021-05-07 06:18:00,12385000,309276083.19839555,16041703.172583643,234406706.67166486,12158336.88529213
2021-05-08 00:56:02,12390000,312509514.69316196,16041703.172583643,234689065.80044708,12047032.664327713
2021-05-08 19:23:49,12395000,312557430.1608622,16224975.155433524,234725049.46117818,12184666.65119901
2021-05-09 13:51:43,12400000,316124615.02675617,16224975.155433524,268392828.78645137,13775159.452825675
2021-05-10 08:23:55,12405000,319688782.34001315,16224975.155433524,310203498.07734627,15743574.149187667
2021-05-11 02:53:00,12410000,319799496.363304,16224975.155433524,281633674.77890486,14288638.43809828
2021-05-11 21:28:55,12415000,320517644.73305184,16150996.73401857,282266117.189567,14223488.82118404
2021-05-12 16:01:19,12420000,320612728.3509312,16150996.73401857,345093244.70926833,17384212.713260096
2021-05-13 10:35:17,12425000,322560428.951421,16150996.73401857,351215248.21351326,17585778.718344502
2021-05-14 05:01:42,12430000,322671463.25413954,16150996.73401857,340493274.30474174,17043049.626362093
2021-05-14 23:32:48,12435000,323452248.7596367,16226706.331851719,341317184.2055904,17122940.8215813
2021-05-15 18:14:43,12440000,326023821.27531046,16284556.195410058,478213718.99437946,23886285.82389341
2021-05-16 12:43:08,12445000,330995933.0874393,16284636.195410058,534335124.1504439,26288700.957907483
2021-05-17 07:18:46,12450000,336601509.0325692,16284636.195410058,576532083.8009641,27892374.18056831
2021-05-18 01:52:20,12455000,346441447.2750938,16296210.321887497,590201758.3327249,27762417.175507966
2021-05-18 20:28:50,12460000,347814930.1812726,16296210.321887497,592541640.1010371,27762417.175507966
2021-05-19 15:08:41,12465000,351274747.93590546,16432971.533677489,860639316.7102677,40261537.37314479
2021-05-20 09:44:17,12470000,352906793.1392342,16448465.502467958,598562198.4342976,27898101.88817633
2021-05-21 04:16:53,12475000,353005535.7245723,16448465.502467958,643927060.2928797,30004096.15558266
