date,reward,reward(USD),MATIC(USD),diff,diff(USD)
2020-07-04,14686770.0,282799.03185611876,0.019255359201248403,847896.0,16326.542045301716
2020-07-05,15615418.0,305321.0125839974,0.019552535358579398,928648.0,18157.42285567404
2020-07-06,16523878.0,315421.8124878534,0.019088849027319964,908460.0,17341.455787359093
2020-07-07,17432338.0,347920.9646439232,0.01995836500209688,908460.0,18131.376269804932
2020-07-08,18320610.0,368588.1856829842,0.020118772556316864,888272.0,17870.942336144693
2020-07-09,19269446.0,416015.5951644239,0.0215893905390131,948836.0,20484.790961475035
2020-07-10,20198094.0,415951.1463716102,0.020593584046673434,928648.0,19124.19063777519
2020-07-11,21146930.0,447064.2141818247,0.02114085657737672,948836.0,20059.205791451815
2020-07-12,22055390.0,472446.8894056463,0.02142092655834451,908460.0,19460.05494119365
2020-07-13,23024414.0,488213.02723416925,0.021204145618393122,969024.0,20547.326003717775
2020-07-14,23973250.0,535897.5742694159,0.02235398096918087,948836.0,21210.2618868737
2020-07-15,24922086.0,557239.1425417055,0.02235924964474102,948836.0,21215.260995917488
2020-07-16,25810358.0,577119.1706804207,0.0223599831773128,888272.0,19861.746976877996
2020-07-17,26537126.0,555127.1864638136,0.020918888747176834,726768.0,15203.178937008213
2020-07-18,27243706.0,577612.9581343248,0.02120170281291115,706580.0,14980.699173546762
2020-07-19,27950286.0,601719.5282963219,0.02152820648405251,706580.0,15211.400137501823
2020-07-20,28777993.681562953,611686.4109291575,0.021255352881707098,827707.6815629527,17593.218854520208
2020-07-21,29686453.681562953,641260.5899309481,0.02160111803213494,908460.0,19623.75168747331
2020-07-22,30594913.681562953,651776.5184413448,0.021303427269811735,908460.0,19353.31153753317
2020-07-23,31422621.681562953,666303.3622870184,0.02120457576835378,827708.0,17551.19700007257
2020-07-24,32351269.681562953,684788.2487367983,0.021167275828035265,928648.0,19656.948363153293
2020-07-25,33078037.681562953,682282.1919228802,0.020626440978485573,726768.0,14990.637257052003
2020-07-26,33885557.68156295,707790.2488785619,0.020887667115588544,807520.0,16867.20894918006
2020-07-27,34672889.68156295,719612.9141042233,0.020754339217560865,787332.0,16340.555404840632
2020-07-28,35581349.68156295,706687.5473208945,0.01986117878173341,908460.0,18043.086476053533
2020-07-29,36469621.68156295,747197.0774764209,0.020488204785907155,888272.0,18199.09864158732
2020-07-30,37378081.68156295,758090.9122649059,0.020281696602927588,908460.0,18425.110095895598
2020-07-31,38347105.68156295,783598.5792126271,0.020434360436995785,969024.0,19801.385688099403
2020-08-01,39295941.68156295,799004.1281461105,0.0203329935345713,948836.0,19292.676253368496
2020-08-02,40204401.68156295,844382.8808506839,0.02100224964267791,908460.0,19079.703710387177
2020-08-03,41133049.68156295,824233.8384004479,0.020038237980926882,928648.0,18608.46962451179
2020-08-04,42102068.26510654,860651.5419524518,0.020442025235747015,969018.5835435838,19808.702338705767
2020-08-05,43050901.6994102,888975.6027854333,0.020649407275890156,948833.4343036637,19592.84802191792
2020-08-06,43898797.6994102,944278.5463102417,0.021510350984462828,847896.0,18238.540558322093
2020-08-07,44807257.6994102,972509.1067655814,0.02170427642079023,908460.0,19717.466957231092
2020-08-08,45776281.6994102,976619.6030744931,0.021334620611771465,969024.0,20673.75940370123
2020-08-09,46725117.6994102,1067415.799377618,0.022844582355992484,948836.0,21675.762144330485
2020-08-10,47673953.6994102,1082852.1476942305,0.022713705570168132,948836.0,21551.58153837605
2020-08-11,48521849.6994102,1178072.296551905,0.02427921243419176,847896.0,20586.24710610146
2020-08-12,49430309.6994102,1140249.2927172116,0.023067816075827995,908460.0,20956.1881922467
2020-08-13,50298393.45813673,1288001.6556624854,0.025607212618718872,868083.7587265298,22229.205380566902
2020-08-14,51247229.433912076,1392027.3609230155,0.027162977907286858,948835.9757753462,25773.210647624695
2020-08-15,51973997.433912076,1466458.7009235183,0.028215237875212604,726768.0,20505.932000092514
2020-08-16,52458509.433912076,1572521.367091974,0.029976478250360084,484512.0,14523.963430038466
2020-08-17,53043891.73869855,1598664.205623073,0.030138516485523157,585382.3047864735,17642.554243140672
2020-08-18,53810980.68327818,1555019.8894144294,0.028897817316636536,767088.9445796311,22167.196186073706
2020-08-19,54860412.98746926,1471199.0541437503,0.026817134141512718,1049432.3041910827,28142.766873929046
2020-08-20,55949846.00717602,1391768.2021596653,0.024875282087124244,1089433.0197067559,27099.95368023314
2020-08-21,56858306.00717602,1517041.2609071608,0.026681084391006953,908460.0,24238.697925854176
2020-08-22,57786945.199659914,1442913.7229329627,0.024969544902357182,928639.1924838945,23187.69801481532
2020-08-23,58574268.35879542,1527438.8220191395,0.026076959470715783,787323.1591355056,20530.99411113249
2020-08-24,59523059.67579468,1508419.8101739367,0.025341772052543534,948791.3169992641,24044.053280827924
2020-08-25,60552401.983805545,1693336.8042154766,0.027964816402631758,1029342.3080108613,28785.368658984964
2020-08-26,61372606.99247242,1588005.5725209631,0.02587482674014055,820205.008666873,21222.662490650815
2020-08-27,62220500.426775545,1672670.617757808,0.026882950254093478,847893.4343031272,22793.877015143447
2020-08-28,63189519.42633967,1625779.0021036146,0.025728617923717476,969018.9995641261,24931.519600608353
2020-08-29,63896098.66721541,1713824.6174841481,0.026822054135262844,706579.2408757359,18951.906649621913
2020-08-30,64966061.527031906,1795521.1146606056,0.02763783231516202,1069962.859816499,29571.45410305961
2020-08-31,65874521.16048394,1792763.9214884245,0.027214830406446254,908459.6334520355,24723.574855499475
2020-09-01,66641665.16048394,1773799.9904463526,0.02661698182623071,767144.0,20419.05790610193
2020-09-02,66823357.16048394,1712802.6519380694,0.025631795897721472,181692.0,4657.09226024881
2020-09-03,67307864.3411724,1584740.1305829945,0.023544650333135065,484507.1806884557,11407.55215320278
2020-09-04,67953877.6389603,1308494.478447492,0.019255626373516733,646013.2977879047,12439.390694527297
2020-09-05,68741209.6389603,1335604.0836453154,0.019429452735267826,787332.0,15297.429880963888
2020-09-06,69669857.6389603,1256450.5330762656,0.01803434908088061,928648.0,16747.562205261616
2020-09-07,70497550.76154149,1327366.6932275302,0.018828550479964318,827693.1225811839,15584.261740439115
2020-09-08,71567513.30234215,1350362.0461310865,0.018868366159746047,1069962.5408006608,20188.44499703909
2020-09-09,72677853.30234215,1324416.5053355808,0.018223109863000023,1110340.0,20233.847805283447
2020-09-10,73424807.32074314,1478043.868328346,0.02013003400705945,746954.0184009969,15036.209792121777
2020-09-11,74353446.07787298,1520639.485200836,0.02045149976785498,928638.7571298331,18992.05532586192
2020-09-12,75039838.07787298,1595471.3212280232,0.021261657302249416,686392.0,14593.831479005581
2020-09-13,75806982.07787298,1587180.546184686,0.020937128779961824,767144.0,16061.792720775033
2020-09-14,76352058.05462758,1511830.063302628,0.019800776846394363,545075.9767546058,10792.92778004839
2020-09-15,76917322.05462758,1546384.0858873744,0.020104497200112016,565264.0,11364.348505324118
2020-09-16,77946754.80255967,1590944.5194021787,0.020410657549914234,1029432.7479320914,21011.399288709097
2020-09-17,78330279.2775465,1559129.7425252746,0.019904559985045298,383524.4749868214,7633.885918108192
2020-09-18,78774360.40487196,1606931.9026310924,0.020399174228416958,444081.1273254603,9058.88828786388
2020-09-19,79662522.96922995,1678047.094247686,0.021064448271313714,888162.564357996,18708.654393436344
2020-09-20,80429572.60289145,1680119.471857838,0.02088932487746974,767049.6336614937,16023.14899469909
2020-09-21,81239037.90398383,1777827.2220939214,0.021883902960484706,809465.3010923862,17714.260098985316
2020-09-22,82188924.11547229,1555857.6921424444,0.01893025987244368,949886.2114884555,17981.592832727463
2020-09-23,82884020.03525524,1626579.296314267,0.01962476356265529,695095.9197829515,13641.093079106831
2020-09-24,83857153.35150176,1487339.2304267406,0.017736581448124063,973133.3162465245,17260.058323489553
2020-09-25,84830288.44377637,1609639.6372269636,0.018974822162650035,973135.0922746062,18465.065316144686
2020-09-26,85896072.22890258,1640923.18778701,0.019103588152600832,1065783.7851262093,20360.29449077112
2020-09-27,86707015.86813247,1639829.7108226342,0.018912307088466217,810943.6392298937,15336.815136554109
2020-09-28,87934999.88998844,1649761.493984726,0.018761147393514192,1227984.0218559653,23038.38923092012
2020-09-29,88954479.42355879,1680697.908186136,0.0188939097735984,1019479.5335703492,19261.95432330836
2020-09-30,89626409.42355879,1762604.853503459,0.019666132614703954,671930.0,13214.264487798027
2020-10-01,90460529.42355879,1819962.9274229768,0.020118862215601874,834120.0,16781.545351277837
2020-10-02,91503178.61973257,1735059.4277516722,0.018961739405384002,1042649.1961737871,19770.442349080455
2020-10-03,92615337.8786371,1688952.5736880482,0.018236208087922177,1112159.2589045316,20281.567672292353
2020-10-04,93518259.51011524,1729985.586986308,0.01849890701611257,902921.6314781308,16703.063303550603
2020-10-05,94467095.13512203,1753275.4499009403,0.018559641824416485,948835.6250067949,17610.04935037247
2020-10-06,94951606.38166332,1786519.3106694708,0.018815050937510795,484511.2465412915,9116.10378347125
2020-10-07,95557229.36269519,1640495.549589,0.017167675962667,605622.9810318649,10397.13909389948
2020-10-08,96445403.30224092,1631408.5965451046,0.016915358748955528,888173.9395457357,15023.78081888926
2020-10-09,97454802.48641859,1619446.0281141198,0.01661740608770724,1009399.1841776669,16773.596148080684
2020-10-10,98363262.27893315,1679812.0240563066,0.017077636356679467,908459.7925145626,15514.34598122818
2020-10-11,99332285.61568086,1707429.7582240591,0.017189071485077343,969023.3367477059,16656.61140606449
2020-10-12,100159988.71477295,1783367.7885298617,0.017805191588113924,827703.0990920961,14737.412257410415
2020-10-13,101108821.43903594,1806325.9263744806,0.017865166467830065,948832.7242629826,16951.054569082888
2020-10-14,102118220.58915968,1803840.0639105195,0.017664233214243905,1009399.1501237452,17830.26199404543
2020-10-15,103006488.82422514,1776774.7710157447,0.017249153828043918,888268.2350654602,15321.875427209197
2020-10-16,103612126.99134743,1782647.6781507179,0.01720500997242906,605638.1671222895,10420.01070502265
2020-10-17,104419644.38167597,1696819.0374448441,0.016249998240202866,807517.3903285414,13122.156171772009
2020-10-18,105327997.337577,1764513.835360678,0.016752562281284043,908352.9559010267,15217.239467120407
2020-10-19,106236425.8702863,1791232.658230486,0.016860814391643445,908428.5327093005,15316.844878084512
2020-10-20,107124601.03835718,1735152.3601062037,0.01619751526061611,888175.1680708826,14386.230838928399
2020-10-21,107931879.95714392,1678928.1509368822,0.015555442484681329,807278.9187867343,12557.580790282776
2020-10-22,108658647.52642815,1775632.867723484,0.016341385689451097,726767.5692842305,11876.389156258483
2020-10-23,109607482.41439891,1903856.4139073028,0.01736976684410366,948834.8879707605,16481.040777603324
2020-10-24,110493161.0193548,1881512.7042625418,0.017028318195485084,885678.6049558967,15081.617104122342
2020-10-25,111401619.93557957,1965201.7939006966,0.01764069315183314,908458.9162247628,16025.844982167928
