blocknumber,timestamp,totalStaked,totalRewards 
10682580,1597735246, 1574760.253616432580438574, 45705553.738698549372979618
10687580,1597800703, 1809210.253616432580438574, 46351514.683278179448061931
10692580,1597867324, 2206544.990333872443486534, 47158862.685202143978042453
10697580,1597933520, 2206544.990333872443486534, 47985680.007176019376978878
10702580,1597999549, 2206544.990333872443486534, 48732636.007176019376978878
10707580,1598065808, 2206544.990333872443486534, 49479592.007176019376978878
10712580,1598132717, 2206544.990333872443486534, 50165975.199659914990135163
10717580,1598198915, 2206544.990333872443486534, 50751418.358795419683103767
10722580,1598265406, 2206544.990333872443486534, 51457998.358795419683103767
10727580,1598331776, 2316544.990333872443486534, 52225060.386320103082367443
10732580,1598398565, 3206790.990333872443486534, 53052548.036141683365042346
10737580,1598464198, 3358085.802428079795485762, 53670884.992472416229541047
10742580,1598531198, 3573327.961209472079908694, 54256336.992472416229541047
10747580,1598596604, 3588150.961209472079908694, 55003285.621602867317217141
10752580,1598662827, 3589150.961209472079908694, 55689677.317855065088371083
10757580,1598729376, 3589150.961209472079908694, 56194376.775275222210698163
10762580,1598796109, 3589150.961209472079908694, 56961519.958332485246370073
10767580,1598862512, 3730849.526772274180291652, 57769039.160483943126889777
10772580,1598927349, 3730966.526772274180291652, 58435243.160483943126889777
10777580,1598993584, 3730966.526772274180291652, 59040883.160483943126889777
10782580,1599059631, 6986232.166772274180291652, 59141823.160483943126889777
10787580,1599125900, 6987232.166772274180291652, 59404264.656043984100416301
10792580,1599192740, 6987232.166772274180291652, 59868584.193408669743755694
10797580,1599258474, 7003952.166772274180291652, 60353095.638960303271071195
10802580,1599324517, 7003952.166772274180291652, 60978923.638960303271071195
10807580,1599390052, 7442224.567762522547902096, 61665315.638960303271071195
10812580,1599456194, 7461718.115900619445655133, 62452635.447867951128728377
10817580,1599522352, 7667250.757028627627533015, 62977520.761541478531677789
10822580,1599588732, 9529114.757028627627533015, 63744663.544184655905437914
10827580,1599655606, 9541782.909451375943208513, 64653123.302342141534904532
10832580,1599722230, 9541782.909451375943208513, 65420267.302342141534904532
10837580,1599787767, 9546725.626627774640978481, 65965341.320743138179991587
10842580,1599853573, 9854149.057164580606925951, 66712288.077872980634593253
10847580,1599919873, 9854149.057164580606925951, 67338116.077872980634593253
10852580,1599986266,10054322.047665732104856179, 67701500.077872980634593253
10857580,1600052325,10054322.047665732104856179, 68367704.077872980634593253
10862580,1600119631,10110888.392126509658538488, 68731088.054627585412660541
10867580,1600185276,10110888.392126509658538488, 69054096.054627585412660541
10872580,1600251426,10110888.392126509658538488, 69800964.658474024985344713
10877580,1600317988,10110888.392126509658538488, 70507456.781354125453021070
10882580,1600383376,10110888.392126509658538488, 70749682.779517965211032104
10887580,1600450803,10110888.392126509658538488, 70991908.836681341402791180
10892580,1600517278,10110888.392126509658538488, 71678216.136098167286554503
10897580,1600583511,10612787.374175282095795219, 72384709.362941645968854122
10902580,1600649018,10612787.374175282095795219, 72869161.612668059873712066
10907580,1600714578,11288997.874175282095795219, 73499252.666742764423174509
10912580,1600781548,11288997.874175282095795219, 74217436.066612962171019523
10917580,1600847115,11288997.874175282095795219, 74912522.115472292746266435
10922580,1600914625,11389997.874175282095795219, 75399084.529940243333298751
10927580,1600980451,11390997.874175282095795219, 76163691.451352588698419219
10932580,1601047332,11910399.368589482854636413, 76881959.181533694015661714
10937580,1601114449,11980399.368589482854636413, 77739214.598487283109289195
10942580,1601182112,11980399.368589482854636413, 78457478.955761093619762382
10947580,1601249850,11985399.368589482854636413, 79175743.322329823724487286
